x y z vx vy vz mass
-27.128153993258017 32.04335668719721 68.3308205411104 -1171.6991974972643 211.4285221478889 -2535.3419228067173 6660061.203942118
888.5216834886297 666.9741721934079 1260.7610571597622 -1156.5067307647425 224.10199136796882 -2510.6244345751015 6660061.203942118
-57.581786192186314 28.679355801398778 37.38316203516554 -1172.8949104896237 239.33684954152554 -2461.4475896764443 6660061.203942118
-81.22753554253198 1.7881274099810365 42.373935966486485 -1124.40118718801 212.60447715515343 -2427.372931896536 6660061.203942118
-218.34221995651268 297.1693385263649 -301.79850220250285 -1162.6928562992769 226.18416149159586 -2492.4513204491636 6660061.203942118
17.127280018286342 8.780508538793303 87.80224682599514 -1165.480265718536 204.82881521663595 -2486.8756848852404 6660061.203942118
-76.73784338479854 3.569270596184587 27.33453689601012 -1131.587477045689 221.33063809387139 -2496.437899524438 6660061.203942118
-85.30660253657851 -7.011506905648253 37.98393904915476 -1129.022366155197 183.386186904243 -2549.5556189875665 6660061.203942118
-23.351351870442407 94.67941458925068 -649.4474436863043 -1164.7618995165678 228.47162976726563 -2496.373099469757 6660061.203942118
-84.88315672341321 -1.2694865703754004 33.310218571909715 -1133.4368302430562 204.0583461842763 -2519.884429699588 6660061.203942118
-322.7224219600552 -700.7374072053145 -118.77910024342322 -1167.5616801604642 209.10349418034068 -2498.618045031164 6660061.203942118
-84.39485552072918 0.8749871621583286 37.85021436356985 -1199.3408514365296 174.43426834439222 -2409.974013097028 6660061.203942118
792.6909744729008 -1233.4555804059041 -5274.668409589476 -1157.6220261806875 226.6337561285695 -2496.1267276601243 6660061.203942118
-81.17752350469648 2.0221677965167832 42.59542025715044 -1175.4544896168295 181.5406096119184 -2519.191952084567 6660061.203942118
-104.56180148058377 68.50728601564727 -116.0337554492229 -1180.5448860629506 199.96394627482545 -2501.4954836911484 6660061.203942118
-250.63220154407875 -101.3491251002857 195.1410607197994 -1141.4212513295 198.07050100132886 -2516.331240017034 6660061.203942118
-88.5495809348267 4.552524210248765 34.59228904345143 -1153.5816196064748 280.40808175095026 -2525.650358789628 6660061.203942118
-14.36292621114417 4.721098180932078 39.63486694990349 -1169.6669115614077 247.13236958541518 -2497.0157658286303 6660061.203942118
-29.276572220746353 239.4766756740226 61.31055638017116 -1150.9345306835528 206.77197104415066 -2479.684314607549 6660061.203942118
-77.16795216679319 31.70388536884179 31.703430149015748 -1163.4120840126602 250.36359365846192 -2509.642996633741 6660061.203942118
-8423.51754229608 -9957.37247827221 2464.9163020616043 -1156.266294103181 226.83205238277654 -2505.783953707588 6660061.203942118
39.12784386181154 -0.9816622711629772 18.415358092990886 -1159.7032891976085 236.95772799390684 -2518.1892510991797 6660061.203942118
-134.1874871896495 115.8859250248279 94.97021951143384 -1191.5715859840013 212.41951205801885 -2539.561075046751 6660061.203942118
-82.01927285133569 -1.7820353147389514 37.85779568714856 -1156.7976563101795 250.63687485423557 -2451.5405276289594 6660061.203942118
-67.17736359202979 -0.9295671430875247 15.429067730111054 -1209.9690319914755 195.14525769765612 -2476.5740405476245 6660061.203942118
-88.63394969094307 -1.242879287750236 35.630117036306665 -1145.3098379642477 313.5409522881556 -2594.2508770884297 6660061.203942118
-228.76820661955966 -159.2324859478805 -361.9294135679562 -1151.733053889564 237.20097619089225 -2514.5487102777315 6660061.203942118
-78.34922811917323 -6.591530694382724 54.122962250390756 -1203.8397088753088 270.96985701401337 -2421.3970462507905 6660061.203942118
-104.64332212954622 -32.60197754222763 -15.597132568364245 -1161.3189538392728 228.9828269214034 -2478.8536437747694 6660061.203942118
-90.32105681482422 -28.103974669905288 71.06343105552335 -1113.3297293051453 179.6557659320231 -2496.5042333046354 6660061.203942118
-67.36737571823261 -6.412059201438995 45.76082459274225 -1060.7215731297874 243.07899605937632 -2474.5494787383964 6660061.203942118
-27.646362113274648 -15.421935070248557 26.54882648719048 -1154.1260919430824 235.10580656159394 -2531.167324922006 6660061.203942118
20.174327458366676 -181.36378345108844 271.93286290643255 -1169.789953643467 220.78532587348585 -2483.1858502402656 6660061.203942118
24494.665610000153 -56169.1827136456 -68395.9800612643 -1160.4217801401555 222.90343703804612 -2502.8986280039417 6660061.203942118
-6.354387339846156 -86.0438437555848 111.37215795506839 -1185.6499011276926 213.3816178831712 -2481.649978602268 6660061.203942118
-210.67897682562364 31.53600459531453 -338.56205799802825 -1147.1401060241033 236.03078760397233 -2502.9511550698257 6660061.203942118
-101.33024446594334 15.608012010928283 89.14663059698577 -1194.858674170304 200.25060382465446 -2471.9538510520556 6660061.203942118
-138.46600677372342 -128.85293212899617 105.04921476896158 -1155.449272974951 210.8864730888987 -2501.6986301316447 6660061.203942118
-596.0468586087477 96.8523726121802 -86.83197742517851 -1149.4141581002075 206.26877660101923 -2505.95612115075 6660061.203942118
-85.46219172863249 -11.078164176484407 43.919895586943746 -1189.5534123476639 142.2232644080949 -2479.1768117499346 6660061.203942118
-97.28819633074795 -27.247857865344255 15.573587521822642 -1199.7727599244831 188.4067783618581 -2531.5237236518933 6660061.203942118
-89.34153609389728 -31.51672626596262 59.25377638917715 -1142.518427560824 229.32429750233865 -2448.56463400674 6660061.203942118
-77.678346792381 0.5040917764185121 32.593290922852844 -1134.5306632944769 178.78727472210227 -2485.5410793245505 6660061.203942118
-173.40315210600096 -1246.728704407382 -291.361166428278 -1163.7118437632798 227.60882805810002 -2500.3410055647237 6660061.203942118
-57167.09781623034 -2103.160069024719 52059.959809622065 -1157.658018378887 223.6201345146421 -2505.0170401565265 6660061.203942118
