#x	y	z	vx	vy	vz	m
221.414	210.053	-30.1049	0.575162	-5.06547	-7.2054	6.66006e+06
0.496964	3.51994	0.206086	6.32381	-28.0302	-15.5992	6.66006e+06
-4.94063	-6.05431	9.74846	3.98887	-15.8805	-63.8841	6.66006e+06
15.0572	12.4942	-12.9419	6.92573	45.2373	30.4874	6.66006e+06
0.188158	-3.22988	2.68977	79.4141	103.853	-0.0195355	6.66006e+06
-10.5665	-26.384	29.2271	30.3929	-8.95142	21.6025	6.66006e+06
-14.786	-20.2553	-40.1505	30.5608	-16.1841	-25.4902	6.66006e+06
43.6522	99.2313	-204.802	-18.3368	12.6736	-2.31082	6.66006e+06
-13.8713	-23.3827	3.23393	13.7695	-32.8729	4.6203	6.66006e+06
244.134	50.2143	56.7547	14.2898	2.39029	-13.1899	6.66006e+06
186.21	379.106	93.7644	3.70723	4.84735	10.0442	6.66006e+06
5.02559	20.0004	-2.68699	-9.38724	14.372	18.0205	6.66006e+06
-203.535	116.766	35.4082	-5.5243	-8.20488	-8.49213	6.66006e+06
-60.561	-2.17702	-29.3753	-7.53885	-19.4554	26.3662	6.66006e+06
49.2178	58.8146	-2.12007	19.5485	-22.7965	-27.0257	6.66006e+06
423.453	-488.953	438.213	-13.6816	-17.6573	-1.55319	6.66006e+06
567.733	1187.05	1208.6	4.37909	3.78536	11.11	6.66006e+06
0.421739	-18.9601	33.9596	35.8416	3.20958	-17.4178	6.66006e+06
11.5177	17.377	57.7564	-27.3065	16.085	30.1151	6.66006e+06
43.8814	13.8805	2.22367	-21.2217	-34.1318	27.9268	6.66006e+06
-3.18206e+07	7.37135e+07	2.73098e+08	0.0223517	-0.0127578	-0.00355092	6.66006e+06
-323.059	-20.1825	-22.2167	-9.67656	-10.9807	7.21713	6.66006e+06
-13.1301	-24.8624	13.3554	-28.8091	-49.3028	29.9966	6.66006e+06
-7873.44	3441.1	1864.97	-3.18696	0.602458	-2.67313	6.66006e+06
-2.4616	0.0398398	-1.97619	44.3464	17.9261	-27.0306	6.66006e+06
49.533	20.2679	-19.5985	10.4367	2.40404	-27.4329	6.66006e+06
12.2529	25.2014	-12.2132	3.99811	-50.2295	-30.4379	6.66006e+06
-22.1063	-1.66687	1.57823	37.6707	2.44228	-23.6593	6.66006e+06
36.317	-8.2232	-16.3742	-58.9398	3.65435	1.11811	6.66006e+06
-7.39192	4.35521	-0.946713	105.407	47.4485	-14.9507	6.66006e+06
14.2272	-35.8746	-3.7352	-0.0382079	-7.39877	74.0983	6.66006e+06
26.0326	-9.89324	37.1459	-38.8419	-16.9243	32.7077	6.66006e+06
124.456	-20.0053	54.8414	22.7873	-17.5474	-12.0832	6.66006e+06
-458.466	734.673	-425.997	9.27169	-9.88402	-13.3692	6.66006e+06
2.39723	0.416961	-3.63244	56.8755	23.1878	-35.3282	6.66006e+06
4.13838	-4.57542	-3.91124	-39.6259	-46.6867	-7.19007	6.66006e+06
1766.26	4253.32	-958.076	-4.93575	5.1793	-0.0709777	6.66006e+06
-1464.07	-6040.93	-4388.78	1.70774	-0.948382	0.524805	6.66006e+06
205.767	-36.9752	-121.096	-18.1057	-3.79976	28.3441	6.66006e+06
3.59427	-6.40368	3.45646	-30.3827	23.8419	32.5529	6.66006e+06
-8.53091	9.37937	17.5398	28.6307	28.6136	23.4682	6.66006e+06
-9.41249	-10.0955	-2.07212	-50.9215	-12.215	-77.0792	6.66006e+06
10.9191	-15.0516	57.4722	-21.7958	2.36251	4.73356	6.66006e+06
-2.38145e+07	-2.7624e+07	2.31803e+07	-0.0143735	0.0440666	-0.0483591	6.66006e+06
-1317.36	-3948.04	4575.11	-2.99054	-2.95824	-1.89389	6.66006e+06
-11952.2	9457.41	-4882.92	-3.19425	0.935544	-3.13526	6.66006e+06
-862.586	-167.859	531.12	1.98587	3.73894	-7.28979	6.66006e+06
-6.64559	-0.164533	2.82786	-18.4046	14.376	-23.6491	6.66006e+06
58.9669	-1957.04	-26.2793	4.38994	7.49629	-10.014	6.66006e+06
5.71438	-5.9213	-14.0366	3.15445	39.2176	-72.324	6.66006e+06
-32.2172	16.2684	4.39392	2.72067	-21.0292	14.9645	6.66006e+06
8.27183	-7.80129	1.07474	3.94671	-31.6058	39.6269	6.66006e+06
1306.08	-550.115	1684.46	0.865649	-6.69436	1.79634	6.66006e+06
-24.1897	-15.7431	7.02159	5.83445	-10.705	-32.539	6.66006e+06
-223.457	31.1869	-44.1245	9.03537	23.8794	-6.94587	6.66006e+06
2.19753	12.7393	6.5454	-29.3163	-17.84	0.979008	6.66006e+06
173.667	73.1073	-16.3913	-1.71401	-16.4047	5.28172	6.66006e+06
-7593.55	-18811.4	-208.367	-3.5123	0.568604	1.2151	6.66006e+06
